№п/п;группа;пол;возраст;средний доход в месяц;стаж работы в сети Интернет;профессиональная специализация (насколько тесно профессия клиента связана с Интернет);среднее количество просматривемых страниц в месяц;степень активности (участие в Интернет-опросах) , балльная оценка;степень активности (участие в Интернет-опросах) , качественная оценка
1;1;2;25;34.2;7.6;2;1062;70;средняя
2;1;2;24;32.1;7.2;4;1126;78;высокая
3;1;1;28;33.8;15.7;4;2311;97;высокая
4;1;2;22;35.5;5.9;3;846;73;средняя
5;1;1;26;35.9;8.8;3;1339;82;высокая
6;1;2;27;38.1;10.9;3;1629;78;высокая
7;1;1;25;38.1;8.1;2;1235;72;средняя
8;1;2;24;35.3;8.9;2;1317;76;высокая
9;1;1;27;42.4;14.3;3;2170;75;высокая
10;1;1;25;35.2;9.6;1;1412;74;средняя
11;1;1;27;35.4;13.3;1;1963;81;высокая
12;1;1;26;35.9;8.7;3;1283;76;высокая
13;1;2;23;29.7;7.0;1;1042;83;высокая
14;1;1;26;33.7;11.6;3;1746;85;высокая
15;1;1;24;34.0;10.0;1;1489;78;высокая
16;1;2;24;39.1;9.5;2;1423;75;средняя
17;1;1;26;42.8;12.2;3;1850;77;высокая
18;1;2;23;39.3;6.3;2;952;70;средняя
19;1;1;22;33.3;5.1;1;757;73;средняя
20;1;2;25;40.2;8.7;3;1269;70;средняя
21;1;1;25;31.3;9.1;3;1367;83;высокая
22;1;2;27;26.2;12.0;3;1774;87;высокая
23;1;1;24;34.4;9.9;2;1474;79;высокая
24;1;1;24;39.2;10.8;2;1623;79;высокая
25;1;1;23;35.8;8.5;2;1274;78;высокая
26;1;2;25;35.6;7.9;3;1194;78;высокая
27;1;1;24;36.7;4.1;1;623;66;средняя
28;1;2;27;45.0;6.4;3;989;65;низкая
29;1;1;21;32.3;4.3;3;607;76;высокая
30;1;1;24;36.1;10.0;2;1501;83;высокая
31;1;1;22;36.1;7.6;2;1154;77;высокая
32;1;1;26;25.2;14.4;2;2130;99;высокая
33;1;2;25;42.7;10.3;4;1576;71;средняя
34;1;1;26;39.5;6.5;1;920;74;средняя
35;1;1;27;34.3;11.3;2;1680;83;высокая
36;1;2;23;27.9;6.6;4;1018;88;высокая
37;1;1;22;35.5;8.9;3;1348;80;высокая
38;1;2;26;39.8;10.8;2;1623;75;высокая
39;1;1;26;33.7;9.7;4;1436;79;высокая
40;1;2;24;36.5;8.8;3;1337;82;высокая
41;1;1;27;35.6;9.8;3;1455;82;высокая
42;1;2;25;34.7;10.3;2;1529;80;высокая
43;1;1;26;32.7;8.1;3;1233;80;высокая
44;1;1;22;32.0;5.7;3;885;72;средняя
45;1;1;29;33.9;12.9;2;1954;87;высокая
46;1;2;24;34.8;5.7;1;812;71;средняя
47;1;1;27;37.5;14.0;2;2107;85;высокая
48;1;2;24;29.7;6.4;2;948;80;высокая
49;1;1;20;40.2;6.0;3;893;67;средняя
50;1;1;23;27.1;7.6;3;1117;82;высокая
51;1;1;26;32.2;10.1;2;1505;86;высокая
52;1;1;24;30.7;9.7;3;1459;87;высокая
53;1;2;22;26.9;8.6;4;1292;87;высокая
54;1;1;26;41.9;10.9;2;1620;80;высокая
55;1;1;25;35.2;10.6;3;1595;80;высокая
56;1;2;24;24.2;13.8;3;2042;97;высокая
57;1;1;25;24.4;9.5;2;1426;88;высокая
58;1;2;26;31.8;13.5;4;2046;86;высокая
59;1;1;26;39.1;11.2;3;1654;74;средняя
60;1;2;28;36.8;15.4;4;2297;86;высокая
61;1;1;23;20.5;6.5;2;983;93;высокая
62;1;2;26;32.2;10.6;2;1623;84;высокая
63;1;1;25;39.5;10.3;3;1517;74;средняя
64;1;1;25;40.6;10.4;2;1559;80;высокая
65;1;1;24;46.7;4.5;2;669;63;низкая
66;1;2;27;39.6;12.9;4;1972;85;высокая
67;1;1;28;33.0;12.5;3;1880;90;высокая
68;1;2;26;39.6;13.6;2;2049;81;высокая
69;1;1;25;28.2;10.6;2;1631;87;высокая
70;1;1;27;37.2;12.2;3;1827;81;высокая
71;1;1;26;41.9;10.5;2;1550;73;средняя
72;1;1;27;39.2;11.8;2;1750;78;высокая
73;1;2;27;32.8;10.6;2;1620;84;высокая
74;1;1;25;29.7;8.1;1;1170;84;высокая
75;1;1;24;32.6;7.5;2;1098;79;высокая
76;1;2;24;25.0;7.8;4;1187;87;высокая
77;1;1;28;52.7;10.9;2;1639;63;низкая
78;1;2;29;32.6;14.5;2;2213;90;высокая
79;1;1;28;35.3;10.8;1;1613;81;высокая
80;1;2;27;36.1;8.8;3;1379;83;высокая
81;1;1;22;29.1;9.4;1;1421;82;высокая
82;1;2;24;30.1;9.6;3;1474;79;высокая
83;1;1;27;39.7;12.8;1;1903;83;высокая
84;1;1;25;30.1;10.7;2;1595;85;высокая
85;1;1;27;36.6;12.9;3;1908;84;высокая
86;1;2;25;34.8;10.9;3;1620;79;высокая
87;1;1;27;40.1;9.5;1;1438;74;средняя
88;1;2;27;31.5;9.7;2;1414;88;высокая
89;1;1;20;26.5;3.9;3;587;84;высокая
90;1;1;23;30.7;10.0;1;1507;86;высокая
91;1;1;22;30.6;3.3;1;473;78;высокая
92;1;1;26;38.2;12.2;1;1816;80;высокая
93;1;2;27;37.2;13.3;4;1989;86;высокая
94;1;1;28;35.4;12.6;1;1891;80;высокая
95;1;1;24;35.0;7.5;3;1129;75;высокая
96;1;2;26;36.1;7.2;2;1104;77;высокая
97;1;1;24;35.0;8.5;2;1282;74;средняя
98;1;2;27;36.1;11.9;3;1808;88;высокая
99;1;1;25;39.6;8.3;2;1269;74;средняя
100;1;2;26;35.8;8.9;2;1362;79;высокая
101;2;2;44;62.9;16.3;2;2435;56;низкая
102;2;1;42;48.0;10.6;2;1590;69;средняя
103;2;1;42;44.6;17.9;3;2712;82;высокая
104;2;2;40;56.3;14.3;4;2173;64;низкая
105;2;2;36;63.7;9.5;3;1396;55;низкая
106;2;1;45;42.8;6.1;3;898;69;средняя
107;2;2;38;39.3;16.1;2;2401;85;высокая
108;2;2;42;53.5;15.1;2;2267;71;средняя
109;2;2;37;37.0;12.1;2;1825;80;высокая
110;2;1;33;38.5;12.2;3;1864;88;высокая
111;2;2;40;56.5;19.8;2;2927;74;средняя
112;2;2;38;44.9;15.9;2;2408;80;высокая
113;2;2;44;43.9;19.1;4;2880;83;высокая
114;2;1;44;60.2;24.9;3;3682;84;высокая
115;2;2;36;43.6;13.9;4;2079;75;средняя
116;2;2;42;47.5;20.2;4;3049;81;высокая
117;2;1;42;46.5;18.8;3;2825;80;высокая
118;2;2;42;54.8;19.6;2;2919;77;высокая
119;2;1;36;51.6;7.8;2;1121;64;низкая
120;2;1;46;45.4;5.0;2;729;61;низкая
121;2;2;42;51.4;15.3;4;2286;65;низкая
122;2;1;38;48.9;11.7;3;1755;70;средняя
123;2;1;35;68.8;10.0;3;1531;47;низкая
124;2;2;30;45.2;6.5;2;956;66;средняя
125;2;2;34;41.3;8.4;3;1273;77;высокая
126;2;1;40;35.2;3.0;1;457;68;средняя
127;2;2;46;67.7;25.1;4;3766;66;средняя
128;2;2;33;45.4;11.4;3;1709;72;средняя
129;2;2;39;41.1;17.8;3;2692;88;высокая
130;2;1;37;50.3;12.0;2;1771;69;средняя
131;2;2;37;52.9;12.3;3;1829;73;средняя
132;2;2;40;52.9;23.6;3;3515;79;высокая
133;2;2;36;53.9;7.0;2;1001;57;низкая
134;2;1;39;51.6;16.8;2;2504;74;средняя
135;2;2;43;46.3;14.7;4;2192;80;высокая
136;2;2;35;55.8;9.0;3;1329;57;низкая
137;2;1;34;37.2;4.2;1;642;69;средняя
138;2;2;45;59.6;19.1;2;2860;71;средняя
139;2;1;37;42.7;19.2;3;2862;87;высокая
140;2;1;31;44.0;10.8;1;1598;72;средняя
141;2;2;43;53.0;17.2;3;2580;71;средняя
142;2;1;35;47.4;12.1;1;1825;75;высокая
143;2;1;44;49.8;17.4;3;2594;77;высокая
144;2;2;38;44.8;20.9;4;3140;88;высокая
145;2;2;40;45.7;9.2;4;1381;65;низкая
146;2;1;37;41.0;17.6;1;2642;81;высокая
147;2;2;36;41.5;15.3;3;2306;84;высокая
148;2;2;35;40.3;12.4;3;1860;79;высокая
149;2;2;41;56.2;13.9;3;2070;68;средняя
150;2;1;45;47.3;15.9;2;2362;73;средняя
151;2;2;48;56.7;21.8;3;3262;74;средняя
152;2;2;40;65.4;14.5;4;2190;56;низкая
153;2;2;48;55.2;19.1;4;2900;77;высокая
154;2;1;40;48.9;18.6;2;2760;76;высокая
155;2;2;41;34.3;11.8;3;1801;82;высокая
156;2;2;37;54.1;9.2;2;1378;55;низкая
157;2;1;41;49.5;16.3;3;2415;76;высокая
158;2;2;41;42.0;10.0;4;1531;72;средняя
159;2;1;46;54.4;16.2;1;2425;75;средняя
160;2;1;37;55.7;11.2;1;1709;63;низкая
161;2;2;42;59.1;13.8;4;2032;59;низкая
162;2;1;45;50.5;26.6;3;3960;86;высокая
163;2;1;40;46.8;17.7;2;2645;82;высокая
164;2;2;37;28.6;12.8;2;1909;89;высокая
165;2;2;46;56.6;25.1;2;3771;79;высокая
166;2;1;36;42.2;11.0;1;1656;72;средняя
167;2;2;39;50.0;12.5;3;1854;65;низкая
168;2;2;37;41.4;14.5;4;2207;80;высокая
169;2;2;38;51.9;13.3;4;1993;64;низкая
170;2;1;45;45.5;21.3;1;3184;91;высокая
171;2;2;38;52.8;11.1;2;1675;65;средняя
172;2;2;37;48.4;8.8;4;1292;63;низкая
173;2;2;40;65.9;18.4;3;2739;65;низкая
174;2;1;37;41.0;10.5;1;1558;73;средняя
175;2;2;45;68.7;18.3;3;2734;63;низкая
176;2;2;39;60.7;10.2;4;1557;56;низкая
177;2;1;43;66.0;16.1;1;2433;57;низкая
178;2;2;42;47.3;25.2;4;3792;86;высокая
179;2;1;46;53.5;11.6;2;1801;62;низкая
180;2;1;41;52.1;6.1;1;865;57;низкая
181;2;2;41;48.0;13.8;3;2038;68;средняя
182;2;1;39;50.4;18.3;1;2724;79;высокая
183;2;1;41;50.1;20.0;3;3028;83;высокая
184;2;2;37;45.3;12.7;3;1909;75;высокая
185;2;2;43;70.7;17.0;4;2542;56;низкая
186;2;1;41;63.2;26.6;1;3988;74;средняя
187;2;2;42;56.8;13.3;3;1994;62;низкая
188;2;2;39;53.9;22.7;3;3392;80;высокая
189;2;2;43;63.0;22.1;3;3330;72;средняя
190;2;1;46;56.2;24.3;1;3627;85;высокая
191;2;2;38;44.3;14.4;2;2140;74;средняя
192;2;2;42;60.6;19.4;2;2887;63;низкая
193;2;2;36;51.5;8.4;4;1283;63;низкая
194;2;1;45;59.3;25.6;1;3832;73;средняя
195;2;2;52;55.6;26.8;3;3996;83;высокая
196;2;2;43;45.1;13.4;2;1982;71;средняя
197;2;1;38;54.1;19.7;1;2921;80;высокая
198;2;2;40;58.3;10.2;4;1526;58;низкая
199;2;1;40;58.9;12.0;2;1815;59;низкая
200;2;1;43;54.8;16.9;3;2546;69;средняя
